"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"mdg",450652811,4591.94996191,4793.66359942,5004.23804594,5224.0625361,5453.54340273,5693.10482788,5943.18962695,6204.26006719,6476.79872214,6761.30936371,7058.31789329,7368.37331393,7692.04874507,8029.94248198,8382.6791016,8750.91061713,9135.31768315,9536.6108538,9955.53189624,10392.8551617,10849.3890169
"mdg",450652812,3715.95096971,3879.18401735,4049.58751156,4227.4764333,4413.17959991,4607.04027293,4809.41679257,5020.68324007,5241.2301292,5471.4651281,5711.81381279,5962.72045388,6224.64883773,6498.08312375,6783.52873937,7081.51331424,7392.58765554,7717.32676616,8056.3309075,8410.22670903,8779.66832662
"mdg",450652813,2389.08816054,2494.03522382,2603.59236648,2717.96209856,2837.35582586,2961.99424076,3092.10773014,3227.93680123,3369.73252619,3517.7570062,3672.2838559,3833.59870922,4001.9997473,4177.79824969,4361.31916972,4552.90173517,4752.90007528,4961.68387538,5179.63906021,5407.16850729,5644.69279159
"mdg",450652814,8181.7080698,8541.11139726,8916.30247353,9307.97481753,9716.85241286,10143.691046,10589.2797035,11054.4420301,11540.0378512,12046.9647628,12576.1597896,13128.601118,13705.3099038,14307.3521597,14935.8407259,15591.9373269,16276.8547193,16991.8589332,17738.2716124,18517.4724573,19330.9017755
"mdg",450652815,7735.7449465,8075.55815548,8430.29856512,8800.62189246,9187.2126587,9590.78545444,10012.0862606,10451.8938272,10911.021113,11390.3167883,11890.6668032,12412.9960257,12958.269951,13527.4964864,14121.7278142,14742.0623363,15389.6467053,16065.6779431,16771.4056545,17508.1343359,18277.2257878
"mdg",450652816,10425.0005939,10882.9465228,11361.0089469,11860.0715367,12381.0567806,12924.9276895,13492.6895773,14085.3919188,14704.1302899,15350.0483927,16024.3401692,16728.2520086,17463.0850512,18230.1975932,19031.0075975,19866.9953151,20739.7060208,21650.7528695,22601.8198786,23594.6650403,24631.1235711
"mdg",450652817,4357.94183952,4549.37604673,4749.21951158,4957.84163311,5175.62803722,5402.98128943,5640.32163903,5888.08779589,6146.73774137,6416.74957489,6698.62239766,6992.87723523,7300.05800059,7620.73249957,7955.49348036,8304.95972923,8669.77721423,9050.62027934,9448.19289086,9863.22993868,10296.4985947
"mdg",450652818,8572.5383894,8949.10998003,9342.22348117,9752.60554032,10181.0147249,10628.2429244,11095.1168142,11582.4993837,12091.2915312,12622.4337294,13176.907764,13755.7385479,14359.9960163,14990.7971042,15649.3078105,16336.7453543,17054.380424,17803.5395262,18585.6074381,19402.0297669,20254.3156219
"mdg",450652819,20819.6960151,21942.7450005,23126.3731135,24373.848093,25688.613945,27074.3004509,28534.7331886,30073.944094,31696.1825924,33405.9273299,35207.8985385,37107.0710673,39108.6881169,41218.2757148,43441.657972,45784.9731611,48254.690664,50857.6288312,53600.9738067,56492.299367,59539.5878306
"mdg",450652820,2837.15534992,2990.19622211,3151.49237316,3321.48910651,3500.65574603,3689.48693169,3888.50398515,4098.25634906,4319.32310388,4552.31456666,4797.87397594,5056.67926765,5329.44494667,5616.9240595,5919.91027318,6239.24006651,6575.7950393,6930.50434635,7304.34726262,7698.35588675,8113.61799053
"mdg",450652821,8095.95315965,8532.66232076,8992.9282994,9478.02178945,9989.28202812,10528.1204933,11096.0248003,11694.5628089,12325.3869519,12990.238797,13690.953855,14429.4666471,15207.8160459,16028.1509042,16892.7359873,17803.9582259,18764.3333056,19776.5126123,20843.2905522,21967.612266,23152.5817606
"mdg",450652822,7381.60435145,7779.78035128,8199.43462593,8641.72574921,9107.87479034,9599.16868504,10116.9637885,10662.6896199,11237.8528091,11844.0412561,12482.9285148,13156.2784135,13865.9499242,14613.902295,15402.200459,16233.0207354,17108.6568375,18031.5262054,19004.1766799,20029.2935367,21109.7068994
"mdg",450652823,6281.50718681,6620.34211828,6977.45436877,7353.82984723,7750.50764417,8168.58290037,8609.20983033,9073.60490879,9563.05022916,10078.8970431,10622.569491,11195.5685338,11799.4760968,12435.9594368,13106.7757454,13813.777,14558.9150765,15344.2471386,16171.9413166,17044.2826934,17963.6796131
"mdg",450652824,4750.41957456,5006.66509703,5276.73292862,5561.36866764,5861.3581312,6177.52952473,6510.7557284,6861.95670699,7232.10204972,7622.21364707,8033.36851197,8466.70175322,8923.40970929,9404.75325111,9912.06126312,10446.7343119,11010.2485131,11604.1596064,12230.1072505,12889.8195502,13585.1178272
"mdg",450652825,4089.64692697,4310.24927527,4542.75128065,4787.79483041,5046.05643626,5318.24910212,5605.12429249,5907.47400714,6226.13296762,6561.98092172,6915.94507233,7289.00263717,7682.18354672,8096.57328761,8533.31589945,8993.61713321,9478.74778011,9990.04717991,10528.9269186,11096.8747255,11695.4585806
"mdg",450652826,3078.84336336,3244.92128845,3419.95773268,3604.43593346,3798.86519481,4003.78229347,4219.75296081,4447.37344468,4687.27215553,4940.11140133,5206.58921603,5487.44128667,5783.44298452,6095.41150561,6424.20812692,6770.74058413,7135.96557769,7520.89141405,7926.58078939,8354.15372351,8804.79065191
"mdg",450652827,6135.06568113,6466.00131454,6814.78816571,7182.38915898,7569.81916042,7978.14777968,8408.50232291,8862.07090504,9340.10572988,9843.9265472,10374.9242963,10934.5649459,11524.3935418,12146.0384719,12801.2159621,13491.7348144,14219.5014005,14986.5249252,15794.9229728,16646.9273539,17544.8902666
"mdg",450652828,5821.94278687,6135.98805125,6466.97343884,6815.812728,7183.46898787,7570.95723707,7979.34724608,8409.76649052,8863.40326394,9341.50995844,9845.40652218,10376.4841036,10936.2088918,11526.1261649,12147.8645555,12803.1405477,13493.7632153,14221.6392168,14988.7780588,15797.2976442,16649.430119
"mdg",450652829,5730.26802315,6039.3681985,6365.14175074,6708.48806951,7070.35505902,7451.74175502,7853.7010829,8277.34276459,8723.83638228,9194.41460735,9690.37660353,10213.0916136,10764.0027395,11344.6309267,11956.5791628,12601.5369031,13281.2847353,13997.6992946,14752.7584452,15548.5467406,16387.2611785
"mdg",450652830,11645.0761551,12273.2309058,12935.2693671,13633.0192827,14368.4069878,15143.4627272,15960.3262605,16821.2527697,17728.6190848,18684.9302461,19692.8264199,20755.0901875,21874.6542272,23054.6094108,24298.213337,25608.8993246,26990.2858915,28446.1867443,29980.6213074,31597.8258197,33302.2650295
"mdg",450652831,3346.72416644,3527.25202701,3717.51786024,3918.04694855,4129.39290898,4352.13922156,4586.90084023,4834.32589056,5095.09745909,5369.93547918,5659.59871858,5964.88687426,6286.64278015,6625.75473406,6983.15895003,7359.84214308,7756.84425324,8175.26131666,8616.24849149,9081.02324702,9570.86872487
"mdg",450652832,5980.29010602,6302.87688782,6642.86453646,7001.19168359,7378.84759224,7776.8748879,8196.37243702,8638.49838075,9104.47333227,9595.58374667,10113.1854726,10658.7074953,11233.6558821,11839.6179399,12478.2665977,13151.3650248,13860.7714991,14608.444537,15396.4483005,16226.9582959,17102.26738
"mdg",450652833,3878.91402855,4088.14909427,4308.67064698,4541.08749854,4786.04130112,5044.20831869,5316.30129401,5603.07141638,5905.31039549,6223.85264716,6559.57759699,6913.41210827,7286.33304082,7679.3699479,8093.60791861,8530.19057351,8990.323222,9475.27618985,9986.38832631,10525.0707004,11092.8104965
"mdg",450652834,5696.93174543,6004.23370659,6328.11204598,6669.46092096,7029.22272126,7408.39067063,7808.01156902,8229.18868244,8673.08478895,9140.92538878,9634.00208766,10153.6761627,10701.3823205,11278.6326583,11887.0208381,12528.2264869,13204.0198334,13916.2665956,14666.9331312,15458.0918666,16291.9270183
"mdg",450652835,5205.22164912,5485.99995093,5781.92390073,6093.81047993,6422.52073925,6768.96217597,7134.09123923,7518.91597066,7924.49878731,8351.95941478,8802.47797852,9277.29826192,9777.7311401,10305.158199,10861.0355495,11446.8978476,12064.3625312,12715.1342855,13401.0097491,14123.8824746,14885.7481555
"mdg",450652836,6030.2945226,6355.57862568,6698.4090936,7059.73240641,7440.54609888,7841.90151448,8264.90670785,8710.72950398,9180.60072227,9675.81757454,10197.7472464,10747.8306717,11327.5865107,11938.6153426,12582.6040846,13261.3306491,13976.6688519,14730.5935855,15525.1862716,16362.640607,17245.2686202
"mdg",450652837,9563.93996051,10079.834768,10623.5577984,11196.6101522,11800.5739017,12437.1164592,13107.9951795,13815.0622123,14560.2696154,15345.6747436,16173.445929,17045.8684671,17965.350926,18934.431796,19955.7864979,21032.2347689,22166.7484476,23362.4596787,24622.6695596,25950.8572548,27350.6896005
"mdg",450652838,13347.6074813,14067.5995997,14826.4292889,15626.191512,16469.0942378,17357.4645368,18293.7550053,19280.5505369,20320.5754585,21416.701052,22571.9534806,23789.5221442,25072.7684839,26425.2352627,27850.6563461,29352.9670103,30936.3148072,32605.0710143,34363.842703,36217.485458,38171.1167821
"mdg",450652839,6620.82287071,6977.96105379,7354.36386367,7751.07046635,8169.17608211,8609.83500928,9074.26381093,9563.74467357,10079.628947,10623.340875,11196.3815276,11800.3329448,12436.8625046,13107.7275262,13814.7801214,14559.9723079,15345.3613989,16173.1156819,17045.520406,17964.9840899,18934.0451722
"mdg",450652840,4594.4534181,4842.28586703,5103.48680991,5378.77736552,5668.91755096,5974.70837993,6296.99407415,6636.66439405,6994.65709521,7371.9605173,7769.6163127,8188.72232222,8630.43560605,9095.97563811,9586.62767277,10103.7462932,10648.7591509,11223.1709075,11828.5673883,12466.619961,13139.0901492
"mdg",450652841,2909.78081209,3066.73922234,3232.16422996,3406.51253727,3590.26548187,3783.93036552,3988.04185469,4203.16345661,4429.88907507,4668.84464998,4920.68988552,5186.1200714,5465.86800238,5760.70600143,6071.44805189,6398.95204471,6744.12214689,7107.91129773,7491.32383963,7895.4182909,8321.31026809
"mdg",450652842,7010.14297118,7388.28172715,7786.81791572,8206.85180828,8649.5430267,9116.11374476,9607.85206235,10126.1155616,10672.3350548,11248.0185348,11854.755338,12494.2205321,13168.1795409,13878.4930182,14627.1219843,15416.1332403,16247.705074,17124.1332737,18047.8374663,19021.3677974,20047.4119716
"mdg",450652843,3447.92358094,3633.91030602,3829.92946398,4036.52222092,4254.25893433,4483.74072772,4725.60115023,4980.50792567,5249.16479599,5532.31346414,5830.73564177,6145.25520735,6476.74048073,6826.10662036,7194.31814987,7582.3916209,7991.39841956,8422.46772431,8876.78962339,9355.61840035,9860.27599688
"mdg",450652844,4389.67342642,4626.45970245,4876.01862351,5139.03916731,5416.24747613,5708.40886157,6016.32991744,6340.86074653,6682.8973076,7043.38388891,7423.31571519,7823.74169527,8245.76731783,8690.55770347,9159.34082133,9653.41087923,10174.1318967,10722.9414708,11301.354745,11910.9685919,12553.4660223
"mdg",450652845,3022.88604005,3185.94553418,3357.80072826,3538.92607697,3729.82162785,3931.01440183,4143.05984822,4366.54337821,4602.08198101,4850.32592729,5111.96056438,5387.70820838,5678.33013832,5984.62869789,6307.44951054,6647.68381404,7006.27092102,7384.20081217,7782.5168694,8202.31875638,8644.76545445
