"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"cod",180876109,53395.7734007,55569.3391032,57831.3834917,60185.5082414,62635.4616399,65185.1445551,67838.6166466,70600.1028292,73474,76464.8840393,79577.5170965,82816.8551722,86188.0560095,89696.4873063,93347.7352616,97147.6134703,101102.172179,105217.707921,109500.77354,113958.188624,118597.050364
"cod",180876110,66390.435787,69092.9713065,71905.5181273,74832.5544464,77878.7407533,81048.9272509,84348.1615776,87781.6968446,91355,95073.7605332,98943.8995339,102971.57912,107163.212249,111525.472927,116065.306841,120789.942409,125706.902298,130824.015395,136149.429278,141691.623183,147459.42151
"cod",180876111,174905.78658,182025.623876,189435.286249,197146.571522,205171.757767,213523.622857,222215.46481,231261.122961,240675,250472.084903,260667.976797,271278.909799,282321.778862,293814.166677,305774.37167,318221.437134,331175.181551,344656.230149,358686.047742,373286.972903,388482.253538
"cod",180876112,130562.164328,135876.919118,141408.020034,147164.273813,153154.845685,159389.273965,165877.485245,172629.810191,179657,186970.243513,194581.185032,202501.94286,210745.128597,219323.867218,228251.817975,237543.19614,247212.795645,257276.012631,267748.869966,278648.042758,289990.884902
"cod",180876113,67064.1146659,69794.073429,72635.1598033,75591.8974268,78668.9940802,81871.3491825,85204.0615916,88672.4377233,92282,96038.4956436,99947.9058265,104016.455195,108250.62178,112657.147312,117243.047955,122015.625477,126982.478878,132151.516487,137530.968558,143129.400368,148955.725858
"cod",180876114,106279.202023,110605.477563,115107.861502,119793.52263,124669.921559,129744.822593,135026.306098,140522.781366,146243,152196.069856,158391.469537,164839.063491,171549.117715,178532.3161,185799.777443,193363.073151,201234.245665,209425.827633,217950.861867,226822.922108,236056.134639
"cod",180876115,254819.944326,265192.823228,275987.947793,287222.506251,298914.386503,311082.204612,323745.334436,336923.938481,350639,364912.356407,379766.734045,395225.784369,411314.121609,428057.361959,445482.164363,463616.272962,482488.56127,502129.078148,522569.095644,543841.15879,565979.137419
"cod",180876116,177440.621456,184663.643513,192180.690959,200003.732596,208145.224438,216618.129543,225435.938649,234612.691661,244163,254102.069871,264445.726472,275210.439195,286413.347844,298072.289928,310205.829064,322833.284532,335974.762036,349651.185715,363884.331463,378696.861598,394112.360946
"cod",180876117,218494.336173,227388.519459,236644.755591,246277.782546,256302.938235,266736.184924,277594.13465,288894.075673,300654,312892.632033,325629.458382,338884.758893,352679.63894,367036.063024,381976.889748,397525.908216,413707.875907,430548.558094,448074.76887,466314.413841,485296.53456
"cod",180876118,490565.401563,510534.699951,531316.882568,552945.039248,575453.606803,598878.423853,623256.787892,648627.514671,675031,702509.284073,731106.118398,760867.035465,791839.42124,824072.590615,857617.865931,892528.658688,928860.554596,966671.402072,1006021.40436,1046973.21536,1089592.03942
"cod",180876119,170440.029611,177378.08068,184598.556909,192112.954894,199933.239219,208071.861509,216541.780251,225356.481429,234530,244076.942235,254012.508978,264352.519851,275113.43844,286312.398508,297967.231278,310096.493823,322719.498615,335856.344269,349527.947551,363756.07668,378563.385986
"cod",180876120,965663.077929,1004972.03466,1045881.12929,1088455.49814,1132762.92902,1178873.96918,1226862.0376,1276803.54189,1328778,1382868.16675,1439160.16567,1497743.62607,1558711.82579,1622161.8397,1688194.69425,1756915.52837,1828433.76084,1902863.26451,1980322.54761,2060934.94248,2144828.80188
